Time (ms),Raw ECG
3992.00,-73.58
4000.00,-589.67
4008.00,-497.47
4016.00,311.53
4024.00,539.69
4032.01,141.13
4040.01,95.97
4048.00,180.84
4056.00,157.47
4064.00,174.09
4072.00,140.09
4080.00,134.22
4088.00,135.75
4096.01,64.78
4104.00,28.59
4112.00,33.19
4120.00,52.31
4128.01,98.56
4136.00,109.87
4144.00,93.03
4152.01,97.03
4160.01,85.09
4168.00,80.72
4176.00,115.34
4184.00,138.69
4192.00,168.09
4200.00,210.84
4208.00,233.09
4216.00,254.63
4224.01,250.91
4232.00,223.28
4240.00,212.31
4248.00,165.91
4256.00,121.12
4264.00,138.28
4272.00,141.31
4280.01,142.88
4288.01,193.63
4296.01,247.09
4304.01,258.81
4312.00,218.25
4320.01,160.97
4328.00,120.31
4336.00,94.34
4344.00,99.69
4352.00,110.41
4360.00,73.22
4368.00,32.88
4376.00,5.50
4384.00,-48.28
4392.01,-80.47
4400.00,-58.06
4408.00,45.56
4416.00,202.28
4424.01,124.22
4432.00,-143.13
4440.01,-142.63
4448.00,140.13
4456.00,439.34
4464.01,422.16
4472.00,117.37
4480.01,140.97
4488.00,359.31
4496.01,352.53
4504.01,395.09
4512.01,581.25
4520.00,776.84
4528.00,878.81
4536.00,810.03
4544.01,741.88
4552.01,730.75
4560.01,678.97
4568.00,635.63
4576.00,608.81
4584.00,564.88
4592.00,529.53
4600.00,497.50
4608.01,460.16
4616.00,428.91
4624.01,397.03
4632.00,364.44
4640.00,335.41
4648.01,305.38
4656.01,276.13
4664.01,248.97
4672.01,221.44
4680.00,195.16
4688.00,169.98
4696.01,145.48
4704.00,121.80
4712.01,99.00
4720.00,76.56
4728.01,55.27
4736.01,34.70
4744.00,14.88
4752.01,-4.31
4760.00,-22.89
4768.00,-40.49
4776.00,-57.62
4784.00,-74.12
4792.00,-89.63
4800.00,-104.56
4808.00,-119.13
4816.00,-132.74
4824.00,-145.87
4832.00,-158.92
4840.00,-171.36
4848.01,-182.84
4856.01,-192.87
4864.01,-202.71
4872.00,-212.86
4880.00,-222.32
4888.00,-230.45
4896.00,-238.41
4904.01,-246.05
4912.01,-252.80
4920.01,-259.63
4928.00,-266.41
4936.00,-272.14
4944.00,-276.86
4952.00,-281.69
4960.00,-286.61
4968.00,-290.39
4976.01,-293.52
4984.00,-429.44
4992.00,-886.50
5000.00,-1305.63
5008.01,-1223.91
5016.01,-1048.08
5024.01,-1074.52
5032.00,-1008.31
5040.00,-918.72
5048.01,-903.11
5056.00,-836.47
5064.01,-781.20
5072.01,-748.23
5080.00,-691.17
5088.00,-648.11
5096.01,-608.11
5104.01,-561.48
5112.01,-522.98
5120.01,-483.75
5128.00,-444.11
5136.01,-408.67
5144.00,-372.53
5152.00,-337.95
5160.00,-305.56
5168.00,-273.50
5176.01,-242.86
5184.00,-213.50
5192.00,-185.30
5200.01,-158.16
5208.00,-132.05
5216.00,-107.00
5224.01,-82.96
5232.01,-60.09
5240.00,-38.10
5248.01,-16.87
5256.01,3.77
5264.00,22.84
5272.01,40.02
5280.01,57.25
5288.00,74.10
5296.00,89.40
5304.00,104.29
5312.00,118.84
5320.00,132.54
5328.01,145.21
5336.00,156.67
5344.00,167.57
5352.01,177.97
5360.00,187.43
5368.01,196.36
5376.01,204.93
5384.01,212.45
5392.00,219.70
5400.00,226.37
5408.01,264.88
5416.00,564.95
5424.00,1122.43
5432.00,1275.79
5440.01,1024.22
5448.00,1010.38
5456.01,1018.85
5464.00,888.45
5472.00,872.34
5480.01,831.24
